Name,SMILES,KOR Inhibitor,lb_prop
CHEMBL1042,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,0,"[7.619000000000008, 121.1888000000001, 0.7777777777777778, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 28.0, 1.0, 0.0, 3.0, 6.0, 0.0, 3.0, 15.0, 384.6480000000002, 18.97394685406591, 18.97394685406591, 12.06754873270632, 12.06754873270632, 10.831498475819457, 10.831498475819457, 8.35335621661202, 8.35335621661202, 6.658702919909749, 6.658702919909749, 384.339216028, -0.8200000000000001, 21.87853115614787, 9.329705668834215, 4.835094053781089, 173.93567719719695, 1.0, 1.0, 20.23]"
CHEMBL1046,NCCCCCC(=O)O,0,"[0.5901000000000001, 35.158199999999994, 0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 2.0, 9.0, 3.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 131.175, 5.4683460610861845, 5.4683460610861845, 3.189532624039047, 3.189532624039047, 1.9930738495979874, 1.9930738495979874, 1.0947663120195235, 1.0947663120195235, 0.5973399877469558, 0.5973399877469558, 131.094628656, -0.5700000000000001, 8.43, 5.564589502018842, 7.43, 54.85960814906508, 2.0, 2.0, 63.32000000000001]"
CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,0,"[-1.6511999999999971, 80.11050000000002, 0.5333333333333333, 3.0, 4.0, 1.0, 0.0, 0.0, 1.0, 0.0, 8.0, 3.0, 24.0, 9.0, 3.0, 4.0, 3.0, 2.0, 2.0, 13.0, 334.33200000000005, 13.289419956140499, 13.289419956140499, 7.65154136915988, 7.65154136915988, 6.459246088134868, 6.459246088134868, 5.474588945534279, 5.474588945534279, 4.309835149201238, 4.309835149201238, 334.127719676, -2.3900000000000006, 15.156102126947134, 4.577599020464515, 1.577721211564523, 137.14704395787857, 8.0, 3.0, 146.89000000000001]"
CHEMBL1054,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,0,"[0.8210000000000004, 76.05140000000002, 0.25, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 5.0, 3.0, 20.0, 12.0, 1.0, 2.0, 2.0, 0.0, 0.0, 10.0, 380.66200000000003, 9.470134507758988, 13.370914507669806, 4.9555435206367875, 9.235862280105938, 3.9015500194607715, 8.684778839667723, 2.475235858627396, 5.835795395779402, 1.629964064862239, 4.541713689494008, 378.902180776, -0.29000000000000015, 16.086960723854123, 5.16408527073321, 2.9837968849530996, 130.0264217244649, 5.0, 3.0, 118.35999999999999]"
CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,0,"[0.9242000000000001, 79.7322, 0.07142857142857142, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 4.0, 3.0, 22.0, 8.0, 1.0, 3.0, 2.0, 0.0, 0.0, 15.0, 338.77200000000005, 11.076973383881645, 12.649398910827827, 6.205257059349516, 8.129541010280304, 4.900328494848947, 6.8373735638935536, 3.5114172471984766, 4.903873960388168, 2.4697056799753505, 3.540945889788315, 338.012805512, -1.9299999999999993, 14.98456335435568, 4.786022252575603, 2.186719505317761, 131.1221012529823, 4.0, 3.0, 109.49000000000001]"
CHEMBL105827,C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)CCc1ccc([N+](=O)[O-])cc1)CCC2=O,1,"[3.5804000000000027, 141.7558999999999, 0.5333333333333333, 2.0, 5.0, 1.0, 0.0, 2.0, 4.0, 2.0, 7.0, 2.0, 39.0, 9.0, 2.0, 7.0, 7.0, 1.0, 3.0, 26.0, 531.6090000000003, 22.07275220420167, 22.07275220420167, 14.044552417457416, 14.044552417457416, 12.263072799694745, 12.263072799694745, 10.34752337080087, 10.34752337080087, 8.374443954813753, 8.374443954813753, 531.236935776, -3.4600000000000004, 24.571354943486554, 8.271042446103133, 3.283395894002487, 226.2217943751554, 7.0, 2.0, 122.00999999999999]"
CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0,"[0.7357999999999993, 70.29880000000001, 0.23076923076923078, 0.0, 0.0, 0.0, 2.0, 3.0, 1.0, 0.0, 7.0, 1.0, 22.0, 9.0, 2.0, 3.0, 5.0, 0.0, 0.0, 12.0, 306.276, 11.342089561218637, 11.342089561218637, 6.394758573669304, 6.394758573669304, 4.8418744561459635, 4.8418744561459635, 3.212779920106776, 3.212779920106776, 2.251965416600109, 2.251965416600109, 306.10406544399996, -2.6799999999999993, 14.265390353023173, 5.6024467573223475, 2.8375736961451246, 123.41948530867809, 7.0, 1.0, 81.64999999999999]"
CHEMBL106189,C[C@@]12Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)[C@]3(NC(=O)/C=C/c1ccc([N+](=O)[O-])cc1)C=CC2=O,1,"[3.437000000000002, 142.3748999999999, 0.4, 2.0, 5.0, 1.0, 0.0, 2.0, 4.0, 2.0, 7.0, 2.0, 39.0, 9.0, 2.0, 7.0, 6.0, 1.0, 2.0, 26.0, 527.5770000000001, 21.553726156213987, 21.553726156213987, 13.451706060130242, 13.451706060130242, 11.634637644469397, 11.634637644469397, 9.648936226395497, 9.648936226395497, 7.680333057161063, 7.680333057161063, 527.205635648, -3.98, 24.087595429183803, 8.017061071596205, 3.162517493833915, 224.84258831078688, 7.0, 2.0, 122.00999999999999]"
CHEMBL1062,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,"[3.8384000000000027, 92.34080000000006, 0.8095238095238095, 0.0, 4.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 1.0, 24.0, 3.0, 0.0, 4.0, 1.0, 0.0, 3.0, 17.0, 330.4680000000001, 15.22996550267857, 15.22996550267857, 9.69573411761772, 9.69573411761772, 9.380149131971743, 9.380149131971743, 8.695990942706548, 8.695990942706548, 7.153612794012322, 7.153612794012322, 330.21949481999997, -0.96, 16.50531036972541, 5.030468577405891, 1.880066273261145, 144.4424436217441, 3.0, 1.0, 54.37]"
CHEMBL1064,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0,"[4.585600000000005, 115.45480000000006, 0.76, 1.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 5.0, 1.0, 30.0, 5.0, 1.0, 3.0, 6.0, 1.0, 1.0, 15.0, 418.57400000000024, 19.096350136370955, 19.096350136370955, 11.588777529249747, 11.588777529249747, 10.251589771157755, 10.251589771157755, 7.347585098808047, 7.347585098808047, 5.079221881093926, 5.079221881093926, 418.2719243159999, -1.62, 23.051741439679358, 9.25239239827976, 5.161036599818663, 180.4455306596892, 5.0, 1.0, 72.83]"
